"directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6100","p6210","p6210s1","p6240","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","pet","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","maxEducLevel","regSalud","wap","ocu","dsi","pea","inac","totalHoursWorked","formal"
4787728,1,2,1,12,4,0,60,2,1,1,6,6,4,1,0,1700000,0,1,0,0,0,0,2e+06,0,1,0,1700000,0,0,0,5883333.33333333,5883333.33333333,7,1,1,1,0,1,0,40,1
4787728,1,3,1,12,4,0,24,3,1,1,6,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1200000,1200000,7,1,1,1,0,1,0,48,1
4787728,1,4,1,12,4,0,22,3,1,1,6,4,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2e+05,7,1,1,1,0,1,0,2,0
4787729,1,1,1,12,4,1,42,1,1,1,6,8,1,1,1e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1e+05,5516666.66666667,6116666.66666667,7,1,1,1,0,1,0,44,1
4787729,1,2,1,12,4,0,37,2,1,1,6,6,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,1,0,1,0,28,0
4787730,1,1,1,12,1,1,70,1,1,3,3,2,1,2,0,0,0,1,2e+05,0,1440000,0,0,0,1,0,0,16666.6666666667,120000,0,286666.666666667,286666.666666667,3,3,1,1,0,1,0,48,0
4787730,1,2,1,12,1,0,67,2,1,3,3,2,4,2,0,0,0,1,0,0,1440000,0,0,0,1,0,0,0,120000,0,120000,120000,3,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4787731,1,2,1,12,2,0,44,2,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2021242,2021242,6,1,1,1,0,1,0,48,1
4787731,1,3,1,12,2,1,21,3,1,1,5,11,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4787733,1,1,1,12,1,1,40,1,1,1,5,11,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,8e+05,8e+05,6,1,1,1,0,1,0,40,0
4787733,1,2,1,12,1,0,38,2,1,1,5,11,4,2,0,0,0,1,0,0,0,0,1e+05,0,1,0,0,0,0,0,1075000,1075000,6,1,1,1,0,1,0,51,1
4787733,1,4,1,12,1,0,20,3,1,3,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4787733,1,5,1,12,1,1,21,9,1,3,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1261242,1261242,6,3,1,1,0,1,0,48,0
4787734,1,1,1,12,1,1,23,1,1,1,5,10,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2916666.66666667,2916666.66666667,6,1,1,1,0,1,0,48,1
4787734,1,2,1,12,1,0,33,2,1,3,3,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,80000,4,3,1,1,0,1,0,91,0
4787734,1,5,1,12,1,0,24,9,2,1.38606565221552,4,9,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,120000,120000,5,1.37731148797547,1,1,0,1,0,12,0
4787735,1,1,1,12,2,0,58,1,1,1,1,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6e+05,6e+05,1,1,1,1,0,1,0,30,0
4787735,1,2,1,12,2,1,48,2,1,1,3,2,6,2,0,0,0,1,70000,0,0,0,0,0,1,0,0,5833.33333333333,0,0,5833.33333333333,5833.33333333333,3,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4787737,1,1,1,12,2,0,51,1,1,1,4,9,1,1,5e+05,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5e+05,840000,840000,5,1,1,1,0,1,0,56,0
4787737,1,2,1,12,2,1,53,2,1,1,4,7,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,924575.333333333,924575.333333333,5,1,1,1,0,1,0,48,1
4787737,1,3,1,12,2,0,29,3,1,1,6,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1100000,1100000,7,1,1,1,0,1,0,48,1
4787737,1,4,1,12,2,0,27,3,1,1,6,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2083333.33333333,2083333.33333333,7,1,1,1,0,1,0,48,1
4787737,1,5,1,12,2,0,79,5,1,1,1,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4787738,1,1,1,12,4,1,92,1,1,1,3,5,6,1,0,687492,0,2,0,0,0,0,0,0,1,0,687492,0,0,0,687492,687492,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4787738,1,2,1,12,4,1,58,3,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1500000,1500000,6,1,1,1,0,1,0,96,1
4787738,1,3,1,12,4,1,52,3,2,1.38606565221552,6,8,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2e+06,2e+06,7,1.37731148797547,1,1,0,1,0,30,0
4787739,1,1,1,12,1,1,55,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1214453,1214453,6,1,1,1,0,1,0,60,1
4787739,1,4,1,12,1,0,88,5,1,1,3,1,4,1,0,781242,0,2,0,0,0,0,0,0,1,0,781242,0,0,0,1562484,1562484,3,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4787740,1,1,1,12,1,1,23,1,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,1e+05,1,0,0,0,0,0,936853,936853,6,1,1,1,0,1,0,52,1
4787740,1,2,1,12,1,0,23,2,2,1.38606565221552,6,3,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1.37731148797547,1,1,0,1,0,4,0
